Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
1991,1991,2IP71LH7CbwddhsEXBI0fy,exact,58,64775
1tbsp,1tbsp,6G01WYFYF91rjG5LtwMhY4,exact,47,34621
33 Below,33 Below,4tMIsBBR8M0PsorDf0mNEz,exact,38,14684
AHEE,AHEE,1gbDc1TANALgP8lLvO5UEf,exact,46,39029
Ahmed Spins,Ahmed Spins,4jercY4pUhY6jB8eQjpVJV,exact,53,68183
Alex Wann,Alex Wann,6PTNNcLg90Kkl89JcEwKhT,exact,62,34032
Arc De Soleil,Arc De Soleil,2iLMJdaqsQ44X7MPRD7rR5,exact,63,187580
Arushi Jain,Arushi Jain,7vQf39VMZhNhPo54R8hIzJ,exact,21,11810
Avalon Emerson,Avalon Emerson,4yrO1N273PlTaixa4BNwBz,exact,37,56916
Balthvs,BALTHVS,2CtiNJi0zB35RHYXViVjKG,exact,55,70802
Barry Can't Swim,Barry Can't Swim,0vTVU0KH0CVzijsoKGsTPl,exact,63,218975
Basstripper,Basstripper,1tSiIyp5dxfbEaS0nZGMEl,exact,47,40081
BBNO$,bbno$,41X1TR6hrK8Q2ZCpp2EqCz,exact,77,1924986
Beltran,Beltran,1jgSqmZTBltb5O2L7ErmEP,exact,55,74371
Bianco,Bianco,3UkCR96mWWbATRWNX250fP,exact,17,397
Blond:Ish,BLOND:ISH,6zsJjoCtL1WByG0VsuFWzR,exact,65,144436
BUNT.,BUNT.,2CpLIMBoE2ZzyY3ZBCRZ7j,exact,68,219978
Caribou,Caribou,4aEnNH9PuU1HF3TsZTru54,exact,57,703808
Cloonee,Cloonee,7MdlXmq2HViAJWo9cf30sR,exact,62,189248
Confidence Man,Confidence Man,0RwXnFrEoI8tltFvYpJgP6,exact,54,121820
Crankdat,Crankdat,5lCekoJW9jNq01B1wiqdAb,exact,51,167148
Culture Shock,Culture Shock,6lp2VnIRXXpC9Wz7hSX6RE,exact,51,92820
CVBZ,CVBZ,0pt7PX4Hftlg8mV1ySU84Q,exact,51,101553
A Dixon's Violin,Dixon's Violin,7ECUCqZFq0J4GOHZ7zsi60,c,10,5450
Daphni,Daphni,4nhvb6x9ZhPiYCzrHDNia9,exact,40,117607
Dimension,Dimension,1QMgre3BHX161ZHtWMUu6S,exact,61,153765
Disclosure,Disclosure,6nS5roXSAGhTGr34W6n7Et,exact,75,2298084
DJ Heartstring,DJ HEARTSTRING,5tcwaJBUyEdxQxvieuQxU7,exact,55,80737
Dombresky,Dombresky,2GVtgxcx7jg5xVCZsIHSGN,exact,51,124095
Eater,Eater,5o9dfJmonwleJh7VcO5m3Z,exact,29,10277
Evening Elephants,Evening Elephants,4mvJqW3HQswIu7RmvcAQUy,exact,49,15491
Fcukers,Fcukers,3UtzOHYm3lQALkKzVD4wyO,exact,47,29320
Fisher,FISHER,1VJ0briNOlXRtJUAzoUJdt,exact,77,1078346
Gashi,GASHI,0JOxt5QOwq0czoJxvSc5hS,exact,53,252915
Gordo,Gordo,4Ge9GwmWnOQsohwPTrXyHc,c,,
GorillaT,GorillaT,3zcOegUrWqti1S0lu4juJz,exact,37,19219
Hamdi,Hamdi,7vvicoei9BbKpZix8qSeLg,exact,51,69357
Haute & Freddy,Haute & Freddy,66T34XqGkEWbzKWALSBDuR,c,35,18392
Hayla,HAYLA,4yX6mpMyBGf9UfvBB8JJrc,exact,67,52949
Infekt,INFEKT,3I6KMDdmPiLE5UQ4XF8Kpl,exact,42,80740
Interplanetary Criminal,Interplanetary Criminal,6uJ51uV5rYzu1MJkC4CceI,exact,61,60856
Jade Cicada,Jade Cicada,6HFxqZ6WaTb7TQUhNsK25o,exact,35,46653
Jerro,Jerro,1WHFu22zN1C6F11Z1rt12K,exact,50,42086
Jersey,Jersey,7C4JBZtbD3cLEOufhgSHzQ,c,,
Joey Valence & Brae,Joey Valence & Brae,1q4618qKswelCGLoanFKQh,c,65,585943
Jon Casey,Jon Casey,5ttBnysifryX99bjzeFPGr,exact,38,16222
Justice,Justice,1gR0gsQYfi6joyO1dlp76N,exact,71,1338146
Kanine,Kanine,1KiNUGL3r0GgyLwqYCY1yV,exact,53,91613
Khruangbin,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,exact,72,2044928
Lilly Palmer,Lilly Palmer,4h8IEOdrg60WM5XGyNOCVU,exact,55,174065
Liquid Stranger,Liquid Stranger,4YJsSCuag8W1TFTgSeEc2k,exact,46,236888
Loco Dice,Loco Dice,4rbw4Z9Hjn6n9x5oYzZe7P,exact,45,183679
Loods,Loods,1uF7AFfGahplhiaHEy9NNl,exact,38,15115
Loofy,Loofy,6zx3vuOK841XDu7XFozhFv,exact,55,20989
Louis The Child,Louis The Child,7wg1qvie3KqDNQbAkTdbX0,exact,58,483937
